
// =========================================================================================================
// 2026-04-17, 17:49:30
//        Time [s]        Pos X [um]        Pos Y [um]        Pos Z [um]      Force A [uN]      Force B [uN]
// =========================================================================================================
           0,00000       -5784,65200        -372,14400         -10,81700         -53,44667          -0,00498
           0,05000       -5784,65200        -372,14400         -10,81700         -53,06378           0,04600
           0,10000       -5784,65300        -372,14400         -10,81700         -52,61707           0,00139
           0,15000       -5784,65200        -372,14400         -10,81600         -53,57430           0,02051
           0,20000       -5784,65300        -372,14400         -10,81700         -52,74470           0,03325
           0,25000       -5784,65400        -372,14400         -10,81600         -53,44667          -0,00498
           0,30000       -5784,65300        -372,14300         -10,81600         -53,19141           0,03963
           0,35000       -5784,65400        -372,14400         -10,81700         -52,99996           0,05237
           0,40000       -5784,65300        -372,14400         -10,81600         -53,57430           0,01413
           0,45000       -5784,65300        -372,14400         -10,81700         -53,38285           0,04600
           0,50000       -5784,65300        -372,14400         -10,81600         -53,38285          -0,01136
           0,55000       -5784,65300        -372,14400         -10,81700         -53,57430           0,05237
           0,60000       -5784,65200        -372,14400         -10,81700         -53,70193          -0,00498
           0,65000       -5784,65300        -372,14400         -10,81700         -53,06378           0,05237
           0,70000       -5784,65200        -372,14400         -10,81700         -53,31904           0,00139
           0,75000       -5784,65300        -372,14400         -10,81700         -53,38285           0,00139
           0,80000       -5784,65300        -372,14300         -10,81800         -53,25522           0,02051
           0,85000       -5784,65300        -372,14400         -10,81700         -53,06378           0,00776
           0,90000       -5784,65300        -372,14400         -10,81700         -53,63811           0,01413
           0,95000       -5784,65300        -372,14400         -10,81700         -53,12759          -0,00498
           1,00000       -5784,65400        -372,14400         -10,81700         -53,51048           0,01413
           1,05000       -5784,65300        -372,14400         -10,81700         -53,38285           0,01413
           1,10000       -5784,65300        -372,14400         -10,81700         -52,87233           0,00776
           1,15000       -5784,65300        -372,14400         -10,81700         -53,51048           0,03325
           1,20000       -5784,65200        -372,14400         -10,81600         -52,80852           0,03963
           1,25000       -5784,65300        -372,14400         -10,81700         -52,87233           0,05874
           1,30000       -5784,65300        -372,14400         -10,81700         -52,93615           0,03963
           1,35000       -5784,65200        -372,14400         -10,81700         -53,57430          -0,01136
           1,40000       -5784,65200        -372,14400         -10,81800         -53,06378           0,02688
           1,45000       -5784,65300        -372,14300         -10,81700         -53,25522           0,00139
           1,50000       -5784,65300        -372,14400         -10,81700         -53,51048           0,04600
           1,55000       -5784,65400        -372,14400         -10,81600         -52,48944          -0,01136
           1,60000       -5784,65300        -372,14400         -11,26000         -52,93615          -0,02410
           1,65000       -5784,65300        -372,14400         -11,26900         -53,57430           0,01413
           1,70000       -5784,65300        -372,14400         -11,27500         -52,74470           0,00776
           1,75000       -5784,65300        -372,14400         -11,30000         -52,74470           0,04600
           1,80000       -5784,65300        -372,14400         -11,30300         -52,87233           0,00139
           1,85000       -5784,65300        -372,14300         -11,30000         -53,38285           0,00776
           1,90000       -5784,65400        -372,14400         -11,31000         -52,99996           0,03325
           1,95000       -5784,65200        -372,14500         -11,31200         -53,70193          -0,01773
           2,00000       -5784,65300        -372,14400         -11,31700         -52,48944           0,01413
           2,05000       -5784,65300        -372,14500         -11,31800         -52,99996           0,02688
           2,10000       -5784,65300        -372,14500         -11,31000         -53,25522           0,02051
           2,15000       -5784,65400        -372,14400         -11,32200         -52,80852           0,02051
