
// =========================================================================================================
// 2026-04-17, 12:29:04
//        Time [s]        Pos X [um]        Pos Y [um]        Pos Z [um]      Force A [uN]      Force B [uN]
// =========================================================================================================
           0,00000       16387,29100         127,11200          -4,24200         -44,89545           0,02051
           0,05000       16387,29200         127,11300          -4,24200         -46,04412          -0,03047
           0,10000       16387,29100         127,11200          -4,24200         -44,95926           0,04600
           0,15000       16387,29200         127,11300          -4,24200         -45,08689          -0,00498
           0,20000       16387,29200         127,11200          -4,24200         -44,89545           0,02688
           0,25000       16387,29100         127,11200          -4,24200         -44,95926           0,02051
           0,30000       16387,29200         127,11200          -4,24200         -45,02308           0,02051
           0,35000       16387,29100         127,11200          -4,24200         -45,66123           0,03325
           0,40000       16387,29200         127,11200          -4,24200         -45,34215           0,00776
           0,45000       16387,29100         127,11200          -4,24200         -44,89545           0,00776
           0,50000       16387,29100         127,11200          -4,24200         -45,53360           0,05237
           0,55000       16387,29100         127,11200          -4,24200         -45,66123           0,02688
           0,60000       16387,29200         127,11200          -4,24200         -45,08689           0,03963
           0,65000       16387,29100         127,11100          -4,24200         -44,95926           0,04600
           0,70000       16387,29300         127,11300          -4,24200         -45,21452           0,03963
           0,75000       16387,29200         127,11200          -4,24200         -44,83163           0,00139
           0,80000       16387,29200         127,11200          -4,24100         -45,34215          -0,01136
           0,85000       16387,29200         127,11200          -4,24200         -44,95926           0,04600
           0,90000       16387,29200         127,11200          -4,24200         -44,70400          -0,01136
           0,95000       16387,29100         127,11200          -4,24200         -44,83163          -0,02410
           1,00000       16387,29200         127,11100          -4,24200         -45,15071           0,05874
           1,05000       16387,29100         127,11200          -4,24200         -44,89545           0,04600
           1,10000       16387,29200         127,11200          -4,24200         -44,89545           0,02051
           1,15000       16387,29300         127,11200          -4,24200         -45,21452           0,02688
           1,20000       16387,29200         127,11200          -4,24200         -45,21452           0,02688
           1,25000       16387,29100         127,11200          -4,24300         -45,21452           0,01413
           1,30000       16387,29200         127,11200          -4,24200         -44,70400           0,03963
           1,35000       16387,29100         127,11300          -4,24200         -45,21452           0,02688
           1,40000       16387,29100         127,11200          -4,24200         -44,70400           0,06512
           1,45000       16387,29100         127,11200          -4,24200         -45,34215           0,00139
           1,50000       16387,29200         127,11200          -4,24300         -45,34215           0,03963
           1,55000       16387,29200         127,11000          -4,07300         -44,95926           0,02688
           1,60000       16387,29200         127,11000          -4,07500         -45,34215           0,01413
           1,65000       16387,29200         127,11000          -4,07700         -45,21452           0,03325
           1,70000       16387,29100         127,11000          -4,07400         -45,59741           0,05237
           1,75000       16387,29200         127,11000          -4,07500         -44,64019           0,02688
           1,80000       16387,29100         127,11100          -4,07500         -44,51256           0,02051
           1,85000       16387,29200         127,11100          -4,07200         -44,32111           0,03963
           1,90000       16387,29200         127,11000          -4,07300         -45,27834           0,00776
           1,95000       16387,29200         127,11000          -4,07300         -45,91649           0,02688
           2,00000       16387,29100         127,11100          -4,07100         -44,70400           0,02688
